search_type,filename,num_veh,dist,d0,d1,d2,d3,d4
heuristic,c101.p,10,889.04677179,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c101.p,11,1087.72579442,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c101.p,11,1161.14520029,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c101.p,13,2657.40949759,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c101.p,11,1213.23420626,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c101.p,11,1218.43194376,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c101.p,10,855.065443397,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c101.p,12,1792.58187506,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c101.p,10,914.460584442,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c101.p,13,2371.84871302,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c102.p,11,1667.99483405,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c102.p,11,2132.03795113,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c102.p,11,1870.52260248,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c102.p,11,2573.39865984,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c102.p,11,2043.52587461,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c102.p,11,1758.38316052,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c102.p,10,1601.7902567,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c102.p,11,2178.38946213,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c102.p,10,1402.28493586,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c102.p,11,2394.24424331,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c103.p,11,1967.98420382,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c103.p,11,2546.22938591,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c103.p,11,2568.46449942,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c103.p,11,2799.51234795,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c103.p,11,1982.21346215,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c103.p,11,2379.42565883,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c103.p,11,2061.73508055,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c103.p,11,2718.56311955,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c103.p,11,1602.87994765,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c103.p,12,2893.16199785,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c104.p,11,1685.26088025,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c104.p,11,2231.13841279,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c104.p,11,2238.26507183,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c104.p,12,2890.87139382,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c104.p,11,1970.43053975,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
heuristic,c104.p,11,1743.03840433,0.639921021328,0.143353287409,0.94466891705,0.52184832175,0.414661939991
heuristic,c104.p,11,1839.24435907,0.264555612105,0.774233689434,0.456150332217,0.568433948869,0.0187898004364
heuristic,c104.p,11,2400.88298551,0.617635497076,0.612095722722,0.616933996875,0.943748078515,0.681820299103
heuristic,c104.p,12,1593.38063188,0.359507900574,0.437031953799,0.697631195927,0.0602254716293,0.666766715446
heuristic,c104.p,12,3157.70624398,0.670637869618,0.210382561074,0.128926297655,0.315428350924,0.363710770943
heuristic,c105.p,11,1258.48317115,0.548813503927,0.715189366372,0.602763376072,0.544883182997,0.423654799339
heuristic,c105.p,11,1534.29955207,0.645894113067,0.437587211263,0.891773000782,0.963662760501,0.383441518826
heuristic,c105.p,11,1929.49678675,0.791725038083,0.528894919753,0.568044561094,0.925596638293,0.0710360581979
heuristic,c105.p,13,2468.63289827,0.0871292997015,0.0202183974403,0.832619845548,0.77815675095,0.870012148247
heuristic,c105.p,11,1330.48471874,0.978618342233,0.799158564217,0.461479362253,0.780529176286,0.118274425869
